filename,label,c,mosgroup,CI,std,dcec_prediction
2a/0102WhyWasIBorn_sample_aache320_ln_C2.wav,3.82353,2,Q8,0.251277703804109,0.528594139870924,1
0a/0204StellaByStarlight_sample_aache320_ln_C0.wav,3.88235,0,Q9,0.440915216763611,0.927520413601263,2
4a/0102Madrigal_sample_aache320_ln_C4.wav,3.35294,4,Q2,0.649649359776056,1.36661884182223,2
3a/ALeftfieldInspectionCheckOne_aache320_ln_C3.wav,4,3,Q11,0.411682344704235,0.866025403784439,1
4a/1702RhapsodyInBlue_sample_aache320_ln_C4.wav,3.76471,4,Q7,0.429460915801068,0.903424856082804,2
3a/0701ConcertogrossoOp6No10Dmajor_sample_aache320_ln_C3.wav,3.29412,3,Q2,0.576470588235294,1.21267812518167,1
2a/0101Side1FascinationYouTellMeYourDreamToylandILoveYouTrulyMoonbeamsIdaSweetAsAppleCiderWaitTillTheSunShinesNellieMeetMeInStLouisLouisInOldNewYorkMyGalSalChiriBiriBimDark_aache320_ln_C2.wav,3.47059,2,Q3,0.653474609869385,1.3746657347708,1
3a/SpeakingOfTheEnd_aache320_ln_C3.wav,3.76471,3,Q7,0.461176470588235,0.970142500145332,1
1a/A2SoulKitchen_aache320_ln_C1.wav,3.88235,1,Q9,0.371365198593842,0.781213234429025,1
0a/0201VillaCapri_aache320_ln_C0.wav,3.41176,0,Q2,0.446532197562738,0.939336436627724,4
0a/0106SixSongsOp68AfterClemensBrentanoLiedDerFrauen_aache320_ln_C0.wav,3.58824,0,Q4,0.378017044342115,0.795206225564457,2
3a/SanFilipe_aache320_ln_C3.wav,4.35294,3,Q15,0.373595640261159,0.785905247993376,4
4a/NuclearCity_aache320_ln_C4.wav,3.94118,4,Q11,0.355360336641741,0.785905247993376,8
2a/02TheUnbirthdaySongAliceInWonderland_aache320_ln_C2.wav,4.23529,2,Q15,0.357690593325619,0.752446988556825,1
1a/0205ForgettingYou_aache320_ln_C1.wav,3.88235,1,Q9,0.331157140800427,0.696630546019236,4
0a/0201ConcertoNr4Gdur_sample_aache320_ln_C0.wav,4.05882,0,Q12,0.427522030432573,0.899346167730627,4
4a/0302Concerto6inGminor_aache320_ln_C4.wav,3.82353,4,Q8,0.345882352941176,0.727606875108999,4
1a/AMoogwaiViola2005TektonikRemix_aache320_ln_C1.wav,4.47059,1,Q15,0.341044599261037,0.717430053979439,1
1a/0625_aache320_ln_C1.wav,3.41176,1,Q2,0.413695473309388,0.870260272089029,1
2a/0201LoveMeOrLeaveMe_aache320_ln_C2.wav,3.58824,2,Q4,0.338599803587686,0.712287119900726,4
0a/03PrayerMeetin_aache320_ln_C0.wav,4.38462,0,Q15,0.353585188048228,0.650443635587991,7
